Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
221,tt32375555,2025-12-15,2025-12-15,,"The Gene: An Intimate History","The Gene: An Intimate History",https://www.imdb.com/title/tt32375555/,TV Series,,,2020,,0,2020,,,
222,tt8126390,2025-12-15,2025-12-15,,"The Most Unknown","The Most Unknown",https://www.imdb.com/title/tt8126390/,Movie,6.5,92,2018,"Documentary",2249,2018-08-09,"Ian Cheney",,
223,tt0099077,2025-12-16,2025-12-16,,"Awakenings","Awakenings",https://www.imdb.com/title/tt0099077/,Movie,7.8,121,1990,"Biography, Drama",174876,1991-03-15,"Penny Marshall",,
224,tt16227014,2025-12-16,2025-12-16,,"Fire of Love","Fire of Love",https://www.imdb.com/title/tt16227014/,Movie,7.6,98,2022,"Documentary, Biography",16360,2022-11-11,"Sara Dosa",,
225,tt7207238,2025-12-16,2025-12-16,,"Jane","Jane",https://www.imdb.com/title/tt7207238/,Movie,7.8,90,2017,"Documentary, Biography",6188,2017-11-24,"Brett Morgen",,
226,tt0095243,2025-12-16,2025-12-16,,"Gorillas in the Mist","Gorillas in the Mist: The Story of Dian Fossey",https://www.imdb.com/title/tt0095243/,Movie,7.0,129,1988,"Biography, Drama",30998,1989-01-27,"Michael Apted",,
227,tt12042730,2026-01-05,2026-01-05,,"Project Hail Mary","Project Hail Mary",https://www.imdb.com/title/tt12042730/,Movie,,,2026,"Sci-Fi",0,2026-03-20,"Phil Lord, Christopher Miller",,
228,tt15047880,2026-01-05,2026-01-05,,"Disclosure Day","Disclosure Day",https://www.imdb.com/title/tt15047880/,Movie,,,2026,"Sci-Fi, Thriller",0,2026-06-12,"Steven Spielberg",,
229,tt37510326,2026-01-05,2026-01-05,,"The Social Reckoning","The Social Reckoning",https://www.imdb.com/title/tt37510326/,Movie,,,2026,"Biography, Drama",0,2026-10-09,"Aaron Sorkin",,
230,tt36408401,2026-01-05,2026-01-05,,"The Adventures of Cliff Booth","The Adventures of Cliff Booth",https://www.imdb.com/title/tt36408401/,Movie,,,,"Comedy, Crime, Drama, Thriller",0,,"David Fincher",,
231,tt35514120,2026-01-05,2026-01-05,,"Werwulf","Werwulf",https://www.imdb.com/title/tt35514120/,Movie,,,2026,"Horror",0,2026-12-25,"Robert Eggers",,
232,tt31378509,2026-01-05,2026-01-05,,"Dune: Part Three","Dune: Part Three",https://www.imdb.com/title/tt31378509/,Movie,,,2026,"Action, Drama, Sci-Fi",0,2026-12-18,"Denis Villeneuve",,
