Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
48,tt0072890,2023-07-22,2023-07-22,,"Dog Day Afternoon","Dog Day Afternoon",https://www.imdb.com/title/tt0072890/,Movie,8.0,125,1975,"Biography, Crime, Drama, Thriller",289139,1975-12-18,"Sidney Lumet",,
49,tt0078788,2023-07-22,2023-07-22,,"Apocalypse Now","Apocalypse Now",https://www.imdb.com/title/tt0078788/,Movie,8.4,147,1979,"Drama, Mystery, War",762778,1979-12-19,"Francis Ford Coppola",,
50,tt0070917,2023-07-22,2023-07-22,,"The Wicker Man","The Wicker Man",https://www.imdb.com/title/tt0070917/,Movie,7.5,88,1973,"Horror, Mystery, Thriller",104105,1973-12-06,"Robin Hardy",,
51,tt8760684,2023-07-22,2023-07-22,,"Apollo 11","Apollo 11",https://www.imdb.com/title/tt8760684/,Movie,8.1,93,2019,"Documentary, History",28399,2019-03-01,"Todd Douglas Miller",,
52,tt0113101,2023-07-27,2023-07-27,,"Four Rooms","Four Rooms",https://www.imdb.com/title/tt0113101/,Movie,6.7,98,1995,"Comedy",116145,1995-12-26,"Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino, Chuck Jones",,
53,tt0105236,2023-08-06,2023-08-06,,"Reservoir Dogs","Reservoir Dogs",https://www.imdb.com/title/tt0105236/,Movie,8.3,99,1992,"Crime, Thriller",1159172,1993-01-15,"Quentin Tarantino",,
54,tt1028528,2023-08-06,2023-08-06,,"Death Proof","Death Proof",https://www.imdb.com/title/tt1028528/,Movie,7.0,127,2007,"Drama, Thriller",331251,2007-09-21,"Quentin Tarantino",,
55,tt1748122,2023-08-06,2023-08-06,,"Moonrise Kingdom","Moonrise Kingdom",https://www.imdb.com/title/tt1748122/,Movie,7.8,94,2012,"Adventure, Comedy, Drama, Fantasy, Romance",380483,2012-05-25,"Wes Anderson",,
56,tt0060107,2023-08-06,2023-08-06,,"Andrei Rublev","Andrey Rublyov",https://www.imdb.com/title/tt0060107/,Movie,8.0,189,1966,"Biography, Drama, History",60021,1973-08-13,"Andrei Tarkovsky",,
57,tt0091670,2023-08-06,2023-08-06,,"The Sacrifice","Offret",https://www.imdb.com/title/tt0091670/,Movie,7.9,149,1986,"Drama",34479,1986-05-09,"Andrei Tarkovsky",,
58,tt0072443,2023-08-06,2023-08-06,,"Mirror","Zerkalo",https://www.imdb.com/title/tt0072443/,Movie,7.9,107,1975,"Biography, Drama",56829,1980,"Andrei Tarkovsky",,
59,tt0082075,2023-08-31,2023-08-31,,"Bill","Bill",https://www.imdb.com/title/tt0082075/,TV Movie,7.9,97,1981,"Biography, Drama",826,1981-12-22,"Anthony Page",,
60,tt0085247,2023-08-31,2023-08-31,,"Bill: On His Own","Bill: On His Own",https://www.imdb.com/title/tt0085247/,TV Movie,7.4,96,1983,"Biography, Drama",370,1983-11-09,"Anthony Page",,
61,tt0062794,2023-08-31,2023-08-31,,"Charly","Charly",https://www.imdb.com/title/tt0062794/,Movie,6.9,103,1968,"Drama, Romance, Sci-Fi",7718,1968-09-23,"Ralph Nelson",,
62,tt1278469,2023-09-02,2023-09-02,,"Temple Grandin","Temple Grandin",https://www.imdb.com/title/tt1278469/,TV Movie,8.2,107,2010,"Biography, Drama",36128,2010-02-06,"Mick Jackson",,
63,tt13521006,2023-09-14,2023-09-14,,"Beau Is Afraid","Beau Is Afraid",https://www.imdb.com/title/tt13521006/,Movie,6.6,179,2023,"Comedy, Drama, Horror, Thriller",77139,2023-05-19,"Ari Aster",,
64,tt7322224,2023-09-18,2023-09-18,,"Triangle of Sadness","Triangle of Sadness",https://www.imdb.com/title/tt7322224/,Movie,7.2,147,2022,"Comedy, Drama",212011,2022-10-28,"Ruben Östlund",,
65,tt1587707,2023-09-19,2023-09-19,,"Exit Through the Gift Shop","Exit Through the Gift Shop",https://www.imdb.com/title/tt1587707/,Movie,7.9,87,2010,"Documentary, Comedy, Crime, History",70612,2010-03-05,"Banksy",,
66,tt0098084,2023-11-02,2023-11-02,,"Pet Sematary","Pet Sematary",https://www.imdb.com/title/tt0098084/,Movie,6.5,103,1989,"Fantasy, Horror, Thriller",122910,1989-11-17,"Mary Lambert",,
67,tt0072684,2023-11-07,2023-11-07,,"Barry Lyndon","Barry Lyndon",https://www.imdb.com/title/tt0072684/,Movie,8.1,185,1975,"Adventure, Drama, War",201302,1975-12-18,"Stanley Kubrick",,
68,tt0047478,2023-11-07,2023-11-07,,"Seven Samurai","Shichinin no samurai",https://www.imdb.com/title/tt0047478/,Movie,8.6,207,1954,"Action, Drama",398254,1954-04-26,"Akira Kurosawa",,
69,tt0054632,2023-11-07,2023-11-07,,"Last Year at Marienbad","L'année dernière à Marienbad",https://www.imdb.com/title/tt0054632/,Movie,7.6,94,1961,"Drama, Mystery, Romance",26691,1962-02-22,"Alain Resnais",,
70,tt0034583,2023-11-07,2023-11-07,,"Casablanca","Casablanca",https://www.imdb.com/title/tt0034583/,Movie,8.5,102,1942,"Drama, Romance, War",649868,1943-01-23,"Michael Curtiz",,
71,tt0146882,2023-11-07,2023-11-07,,"High Fidelity","High Fidelity",https://www.imdb.com/title/tt0146882/,Movie,7.4,113,2000,"Comedy, Drama, Music, Romance",198069,2000-07-21,"Stephen Frears",,
72,tt1355642,2023-11-11,2023-11-11,,"Fullmetal Alchemist: Brotherhood","Hagane no renkinjutsushi",https://www.imdb.com/title/tt1355642/,TV Series,9.1,24,2009,"Animation, Action, Adventure, Comedy, Drama, Fantasy, Sci-Fi",240435,2009-04-05,,,
73,tt0096257,2023-11-14,2023-11-14,,"The Thin Blue Line","The Thin Blue Line",https://www.imdb.com/title/tt0096257/,Movie,7.9,101,1988,"Documentary, Crime",27428,1989-09-20,"Errol Morris",,
74,tt0098213,2023-11-14,2023-11-14,,"Roger & Me","Roger & Me",https://www.imdb.com/title/tt0098213/,Movie,7.5,91,1989,"Documentary",28155,1990-04-27,"Michael Moore",,
75,tt2375605,2023-11-14,2023-11-14,,"The Act of Killing","The Act of Killing",https://www.imdb.com/title/tt2375605/,Movie,8.2,117,2012,"Documentary, Biography, Crime, History, War",43729,2013-06-28,"Joshua Oppenheimer, Anonymous, Christine Cynn",,
76,tt0112913,2023-11-20,2023-11-20,,"Fallen Angels","Do lok tin si",https://www.imdb.com/title/tt0112913/,Movie,7.5,99,1995,"Comedy, Crime, Drama, Romance",59263,1996-09-06,"Wong Kar-Wai",,
77,tt2316204,2023-11-24,2023-11-24,,"Alien: Covenant","Alien: Covenant",https://www.imdb.com/title/tt2316204/,Movie,6.4,122,2017,"Horror, Sci-Fi, Thriller",341109,2017-05-12,"Ridley Scott",,
78,tt2267446,2023-11-30,2023-11-30,,"Uchû kyôdai","Uchû kyôdai",https://www.imdb.com/title/tt2267446/,TV Series,8.2,24,2012,"Animation, Comedy, Sci-Fi",662,2012-04-01,,,
79,tt26737616,2023-12-04,2023-12-04,,"Pluto","Pluto",https://www.imdb.com/title/tt26737616/,TV Mini Series,8.1,62,2023,"Animation, Action, Drama, Mystery, Sci-Fi, Thriller",19313,2023-10-26,,,
80,tt2077761,2023-12-13,2023-12-13,,"Heart of Sky, Heart of Earth","Herz des Himmels, Herz der Erde",https://www.imdb.com/title/tt2077761/,Movie,7.3,98,2011,"Documentary",55,2011-12-01,"Eric Black, Frauke Sandig",,
81,tt10334160,2023-12-14,2023-12-14,,"Falling Into Place","Falling Into Place",https://www.imdb.com/title/tt10334160/,Movie,6.3,113,2023,"Drama, Romance",476,2023-12-07,"Aylin Tezel",,
82,tt0106697,2023-12-19,2023-12-19,,"Demolition Man","Demolition Man",https://www.imdb.com/title/tt0106697/,Movie,6.7,115,1993,"Action, Sci-Fi, Thriller",206986,1993-11-12,"Marco Brambilla",,
83,tt2013293,2024-01-01,2024-01-01,,"The Wind Rises","Kaze tachinu",https://www.imdb.com/title/tt2013293/,Movie,7.8,126,2013,"Animation, Biography, Drama, History, Romance, War",110991,2014-05-09,"Hayao Miyazaki",,
84,tt1857816,2024-01-11,2024-01-11,,"Mr. Dough and the Egg Princess","Pan-dane to tamago-hime",https://www.imdb.com/title/tt1857816/,Short,7.5,12,2010,"Animation, Short, Adventure, Family, Fantasy",960,2010-11-20,"Hayao Miyazaki",,
85,tt1136617,2024-01-15,2024-01-15,,"The Killer","The Killer",https://www.imdb.com/title/tt1136617/,Movie,6.7,118,2023,"Action, Adventure, Crime, Drama, Thriller",219639,2023-11-10,"David Fincher",,
86,tt10366206,2024-01-15,2024-01-15,,"John Wick: Chapter 4","John Wick: Chapter 4",https://www.imdb.com/title/tt10366206/,Movie,7.6,169,2023,"Action, Crime, Thriller",402943,2023-03-24,"Chad Stahelski",,
87,tt0082933,2024-01-20,2024-01-20,,"Possession","Possession",https://www.imdb.com/title/tt0082933/,Movie,7.2,124,1981,"Drama, Horror",54976,1981-05-27,"Andrzej Zulawski",,
88,tt0423731,2024-01-25,2024-01-25,,"Samurai Champloo","Samurai Chanpurû",https://www.imdb.com/title/tt0423731/,TV Series,8.5,24,2004,"Animation, Action, Adventure, Comedy, Drama, Thriller",62503,2004-05-19,,,
89,tt0074559,2024-01-26,2024-01-26,,"Futureworld","Futureworld",https://www.imdb.com/title/tt0074559/,Movie,5.7,108,1976,"Sci-Fi, Thriller",12737,1976-10-24,"Richard T. Heffron",,
90,tt0983213,2024-01-29,2024-01-29,,"5 Centimeters per Second","Byôsoku 5 senchimêtoru",https://www.imdb.com/title/tt0983213/,Movie,7.4,63,2007,"Animation, Drama, Family, Romance",69770,2007-03-03,"Makoto Shinkai",,
91,tt2401878,2024-01-29,2024-01-29,,"Anomalisa","Anomalisa",https://www.imdb.com/title/tt2401878/,Movie,7.2,90,2015,"Animation, Comedy, Drama, Romance",78271,2016-03-11,"Duke Johnson, Charlie Kaufman",,
92,tt13238346,2024-02-01,2024-02-01,,"Past Lives","Past Lives",https://www.imdb.com/title/tt13238346/,Movie,7.8,105,2023,"Drama, Romance",167147,2023-09-08,"Celine Song",,
93,tt1236194,2024-02-02,2024-02-02,,"Flicker","Flicker",https://www.imdb.com/title/tt1236194/,Movie,6.4,75,2008,"Documentary",141,2008-04-23,"Nik Sheehan",,
94,tt0270288,2024-02-05,2024-02-05,,"Confessions of a Dangerous Mind","Confessions of a Dangerous Mind",https://www.imdb.com/title/tt0270288/,Movie,7.0,113,2002,"Biography, Comedy, Crime, Drama, Romance, Thriller",95048,2003-03-14,"George Clooney",,
95,tt6083344,2024-02-06,2024-02-06,,"Terence McKenna's True Hallucinations","Terence McKenna's True Hallucinations",https://www.imdb.com/title/tt6083344/,Movie,8.1,,2016,"Documentary",185,2016-03-04,"Peter Bergmann",,
96,tt8741290,2024-02-14,2024-02-14,,"Tales from the Loop","Tales from the Loop",https://www.imdb.com/title/tt8741290/,TV Series,7.4,50,2020,"Drama, Sci-Fi",26043,2020-04-03,,,
97,tt21192142,2024-02-24,2024-02-24,,"All of Us Strangers","All of Us Strangers",https://www.imdb.com/title/tt21192142/,Movie,7.6,105,2023,"Drama, Romance",76953,2024-01-26,"Andrew Haigh",,
98,tt4955642,2024-02-29,2024-02-29,,"The Good Place","The Good Place",https://www.imdb.com/title/tt4955642/,TV Series,8.2,22,2016,"Comedy, Drama, Fantasy, Mystery, Romance",216265,2017-09-21,,,
99,tt9455546,2024-03-06,2024-03-06,,"Athabasca","Athabasca",https://www.imdb.com/title/tt9455546/,Video,,11,2019,"Documentary, Short",0,2019-01-26,"Michel Wenzer, Philippe Leonard",,
100,tt0102744,2024-03-07,2024-03-07,,"Quigley Down Under","Quigley Down Under",https://www.imdb.com/title/tt0102744/,Movie,6.9,119,1990,"Action, Adventure, Drama, Romance, Western",27012,1991-04-05,"Simon Wincer",,
101,tt7946422,2024-03-20,2024-03-20,,"Prospect","Prospect",https://www.imdb.com/title/tt7946422/,Movie,6.3,100,2018,"Adventure, Drama, Sci-Fi, Thriller",39816,2019-04-29,"Christopher Caldwell, Zeek Earl",,
102,tt7472896,2024-04-09,2024-04-09,,"Mr Inbetween","Mr Inbetween",https://www.imdb.com/title/tt7472896/,TV Series,8.7,30,2018,"Comedy, Crime, Drama",45659,2020-10-29,,,
103,tt11581002,2024-04-11,2024-04-11,,"In Silico","In Silico",https://www.imdb.com/title/tt11581002/,Movie,7.1,83,2020,"Documentary",68,2021-04-30,"Noah Hutton",,
104,tt8760932,2024-06-04,2024-06-04,,"Nine Perfect Strangers","Nine Perfect Strangers",https://www.imdb.com/title/tt8760932/,TV Series,6.9,50,2021,"Drama, Mystery, Thriller",73032,2021-08-20,,,
105,tt0109424,2024-06-23,2024-06-23,,"Chungking Express","Chung Hing sam lam",https://www.imdb.com/title/tt0109424/,Movie,7.9,102,1994,"Comedy, Crime, Drama, Mystery, Romance",108739,1995-09-15,"Wong Kar-Wai",,
106,tt2798920,2024-07-09,2024-07-09,,"Annihilation","Annihilation",https://www.imdb.com/title/tt2798920/,Movie,6.8,115,2018,"Adventure, Drama, Horror, Mystery, Sci-Fi, Thriller",389471,2018-03-12,"Alex Garland",,
107,tt0118929,2024-07-09,2024-07-09,,"Dark City","Dark City",https://www.imdb.com/title/tt0118929/,Movie,7.5,100,1998,"Fantasy, Mystery, Sci-Fi, Thriller",224358,1998-05-29,"Alex Proyas",,
108,tt0089469,2024-07-09,2024-07-09,,"Legend","Legend",https://www.imdb.com/title/tt0089469/,Movie,6.3,94,1985,"Adventure, Fantasy, Romance",78914,1986-03-14,"Ridley Scott",,
109,tt8694364,2024-07-09,2024-07-09,,"Years and Years","Years and Years",https://www.imdb.com/title/tt8694364/,TV Mini Series,8.3,60,2019,"Drama, Sci-Fi",36894,2019-05-14,,,
110,tt1226837,2024-07-15,2024-07-15,,"Beautiful Boy","Beautiful Boy",https://www.imdb.com/title/tt1226837/,Movie,7.4,120,2018,"Biography, Drama",123936,2019-01-18,"Felix van Groeningen",,
111,tt0262150,2024-07-15,2024-07-15,,"Black Books","Black Books",https://www.imdb.com/title/tt0262150/,TV Series,8.4,25,2000,"Comedy",64066,2000-09-29,,,
112,tt0096163,2024-07-19,2024-07-19,,"The Vanishing","Spoorloos",https://www.imdb.com/title/tt0096163/,Movie,7.6,107,1988,"Mystery, Thriller",53774,1990-06-01,"George Sluizer",,
113,tt1149362,2024-07-28,2024-07-28,,"The White Ribbon","Das weiße Band - Eine deutsche Kindergeschichte",https://www.imdb.com/title/tt1149362/,Movie,7.8,144,2009,"Drama, Mystery, Thriller",81006,2009-11-13,"Michael Haneke",,
114,tt8652728,2024-07-28,2024-07-28,,"Waves","Waves",https://www.imdb.com/title/tt8652728/,Movie,7.5,135,2019,"Drama, Romance, Sport",37045,2020-01-17,"Trey Edward Shults",,
115,tt1660648,2024-08-30,2024-08-30,,"Ricky Stanicky","Ricky Stanicky",https://www.imdb.com/title/tt1660648/,Movie,6.2,113,2024,"Comedy",60460,2024-03-07,"Peter Farrelly",,
116,tt0095327,2024-09-04,2024-09-04,,"Grave of the Fireflies","Hotaru no haka",https://www.imdb.com/title/tt0095327/,Movie,8.5,88,1988,"Animation, Drama, War",375403,1989-04-07,"Isao Takahata",,
117,tt0110008,2024-09-19,2024-09-19,,"Pom Poko","Heisei tanuki gassen ponpoko",https://www.imdb.com/title/tt0110008/,Movie,7.2,119,1994,"Animation, Comedy, Drama, Family, Fantasy",38282,1995-11-24,"Isao Takahata",,
118,tt21047514,2024-10-21,2024-10-21,,"Make Some Noise","Make Some Noise",https://www.imdb.com/title/tt21047514/,TV Series,8.9,,2022,"Comedy, Game-Show",931,2022-06-13,,,
119,tt0068638,2024-11-12,2024-11-12,,"The Getaway","The Getaway",https://www.imdb.com/title/tt0068638/,Movie,7.3,123,1972,"Action, Crime, Thriller",38145,1973-01-25,"Sam Peckinpah",,
120,tt0065380,2024-11-14,2024-11-14,,"Alex in Wonderland","Alex in Wonderland",https://www.imdb.com/title/tt0065380/,Movie,5.4,110,1970,"Comedy, Drama",1073,2019-02-22,"Paul Mazursky",,
121,tt0069704,2024-11-14,2024-11-14,,"American Graffiti","American Graffiti",https://www.imdb.com/title/tt0069704/,Movie,7.4,110,1973,"Comedy, Drama",104645,1974-03-28,"George Lucas",,
122,tt0067328,2024-11-14,2024-11-14,,"The Last Picture Show","The Last Picture Show",https://www.imdb.com/title/tt0067328/,Movie,8.0,118,1971,"Drama, Romance",56381,1972-03,"Peter Bogdanovich",,
123,tt0075860,2024-11-14,2024-11-14,,"Close Encounters of the Third Kind","Close Encounters of the Third Kind",https://www.imdb.com/title/tt0075860/,Movie,7.6,138,1977,"Drama, Sci-Fi",230860,1978-03-14,"Steven Spielberg",,
124,tt0062765,2024-11-14,2024-11-14,,"Bullitt","Bullitt",https://www.imdb.com/title/tt0062765/,Movie,7.4,114,1968,"Action, Crime, Thriller",80886,1968-10-17,"Peter Yates",,
125,tt0067116,2024-11-14,2024-11-14,,"The French Connection","The French Connection",https://www.imdb.com/title/tt0067116/,Movie,7.7,104,1971,"Action, Crime, Drama, Thriller",148939,1972-01-18,"William Friedkin",,
126,tt0065528,2024-11-14,2024-11-14,,"Catch-22","Catch-22",https://www.imdb.com/title/tt0065528/,Movie,7.1,122,1970,"Comedy, Drama, War",28092,1970-09-18,"Mike Nichols",,
127,tt0359715,2024-11-24,2024-11-24,,"My Best Friend's Birthday","My Best Friend's Birthday",https://www.imdb.com/title/tt0359715/,Movie,5.5,69,1987,"Comedy",5047,1987-01-01,"Quentin Tarantino",,
128,tt15339456,2024-11-25,2024-11-25,,"Marcel the Shell with Shoes On","Marcel the Shell with Shoes On",https://www.imdb.com/title/tt15339456/,Movie,7.6,90,2021,"Animation, Comedy, Drama, Family, Fantasy",33195,2023-02-17,"Dean Fleischer Camp",,
129,tt0057012,2024-11-27,2024-11-27,,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",https://www.imdb.com/title/tt0057012/,Movie,8.3,95,1964,"Comedy, War",547815,1964-01-29,"Stanley Kubrick",,
130,tt0049406,2024-11-27,2024-11-27,,"The Killing","The Killing",https://www.imdb.com/title/tt0049406/,Movie,7.9,84,1956,"Crime, Drama, Film-Noir, Thriller",104749,1956-07-21,"Stanley Kubrick",,
131,tt6019206,2024-11-28,2024-11-28,,"Kill Bill: The Whole Bloody Affair","Kill Bill: The Whole Bloody Affair",https://www.imdb.com/title/tt6019206/,Movie,8.8,275,2006,"Action, Crime, Thriller",24941,2025-12-05,"Quentin Tarantino",,
132,tt0212720,2024-12-01,2024-12-01,,"A.I. Artificial Intelligence","A.I. Artificial Intelligence",https://www.imdb.com/title/tt0212720/,Movie,7.2,146,2001,"Adventure, Drama, Sci-Fi",336623,2001-09-21,"Steven Spielberg",,
133,tt0093058,2024-12-02,2024-12-02,,"Full Metal Jacket","Full Metal Jacket",https://www.imdb.com/title/tt0093058/,Movie,8.2,116,1987,"Drama, War",842522,1987-09-11,"Stanley Kubrick",,
134,tt0050825,2024-12-02,2024-12-02,,"Paths of Glory","Paths of Glory",https://www.imdb.com/title/tt0050825/,Movie,8.4,88,1957,"Drama, War",236407,1957-12-20,"Stanley Kubrick",,
135,tt0033467,2024-12-03,2024-12-03,,"Citizen Kane","Citizen Kane",https://www.imdb.com/title/tt0033467/,Movie,8.2,119,1941,"Drama, Mystery",490461,1941-09-05,"Orson Welles",,
136,tt0054215,2024-12-03,2024-12-03,,"Psycho","Psycho",https://www.imdb.com/title/tt0054215/,Movie,8.5,109,1960,"Drama, Horror, Mystery, Thriller",777959,1960-09-08,"Alfred Hitchcock",,
137,tt21097228,2024-12-04,2024-12-04,,"A Different Man","A Different Man",https://www.imdb.com/title/tt21097228/,Movie,6.9,112,2024,"Drama, Thriller",36421,2024-10-04,"Aaron Schimberg",,
138,tt30319503,2024-12-04,2024-12-04,,"Didi","Dìdi",https://www.imdb.com/title/tt30319503/,Movie,7.3,93,2024,"Comedy, Drama",15374,2024-08-02,"Sean Wang",,
139,tt22248376,2024-12-04,2024-12-04,,"Frieren: Beyond Journey's End","Sôsô no Furîren",https://www.imdb.com/title/tt22248376/,TV Series,8.9,25,2023,"Animation, Adventure, Comedy, Drama, Fantasy",63227,2023-10-27,,,
140,tt12818328,2024-12-04,2024-12-04,,"Hundreds of Beavers","Hundreds of Beavers",https://www.imdb.com/title/tt12818328/,Movie,7.6,108,2022,"Action, Adventure, Comedy",15720,2024-04-15,"Mike Cheslik",,
141,tt0243017,2024-12-04,2024-12-04,,"Waking Life","Waking Life",https://www.imdb.com/title/tt0243017/,Movie,7.6,99,2001,"Animation, Drama, Fantasy",69191,2002-04-19,"Richard Linklater",,
142,tt22022452,2024-12-09,2024-12-09,,"Inside Out 2","Inside Out 2",https://www.imdb.com/title/tt22022452/,Movie,7.5,96,2024,"Animation, Adventure, Comedy, Drama, Family, Fantasy, Sport",241898,2024-06-14,"Kelsey Mann",,
143,tt2278871,2024-12-09,2024-12-09,,"Blue Is the Warmest Colour","La vie d'Adèle",https://www.imdb.com/title/tt2278871/,Movie,7.6,180,2013,"Drama, Romance",171975,2013-11-22,"Abdellatif Kechiche",,
144,tt0017136,2024-12-12,2024-12-12,,"Metropolis","Metropolis",https://www.imdb.com/title/tt0017136/,Movie,8.2,153,1927,"Drama, Sci-Fi",199319,1927-09-26,"Fritz Lang",,
145,tt0129167,2024-12-13,2024-12-13,,"The Iron Giant","The Iron Giant",https://www.imdb.com/title/tt0129167/,Movie,8.1,86,1999,"Animation, Action, Adventure, Comedy, Drama, Family, Sci-Fi",255729,1999-12-17,"Brad Bird",,
146,tt0175880,2024-12-13,2024-12-13,,"Magnolia","Magnolia",https://www.imdb.com/title/tt0175880/,Movie,8.0,188,1999,"Drama",347102,2000-03-24,"Paul Thomas Anderson",,
147,tt1389371,2024-12-15,2024-12-15,,"Rubicon","Rubicon",https://www.imdb.com/title/tt1389371/,TV Series,7.9,45,2010,"Crime, Drama, Mystery, Thriller",11537,2011-04-07,,,
148,tt2699128,2024-12-15,2024-12-15,,"The Leftovers","The Leftovers",https://www.imdb.com/title/tt2699128/,TV Series,8.3,60,2014,"Drama, Fantasy, Mystery, Thriller",127661,2014-09-18,,,
149,tt2965412,2024-12-15,2024-12-15,,"Comet","Comet",https://www.imdb.com/title/tt2965412/,Movie,6.7,91,2014,"Comedy, Drama, Romance, Sci-Fi",20297,2014-12-05,"Sam Esmail",,
150,tt11897688,2024-12-15,2024-12-15,,"The Resort","The Resort",https://www.imdb.com/title/tt11897688/,TV Series,7.3,35,2022,"Comedy, Mystery, Thriller",14392,2022-07-28,,,
151,tt11834592,2024-12-15,2024-12-15,,"Gaslit","Gaslit",https://www.imdb.com/title/tt11834592/,TV Mini Series,7.3,60,2022,"Biography, Drama, History",8459,2022-04-25,,,
152,tt0093870,2024-12-17,2024-12-17,,"RoboCop","RoboCop",https://www.imdb.com/title/tt0093870/,Movie,7.6,102,1987,"Action, Crime, Sci-Fi, Thriller",305107,1988-02-05,"Paul Verhoeven",,
153,tt0119488,2024-12-17,2024-12-17,,"L.A. Confidential","L.A. Confidential",https://www.imdb.com/title/tt0119488/,Movie,8.2,138,1997,"Crime, Drama, Mystery, Thriller",653915,1997-10-31,"Curtis Hanson",,
154,tt27657135,2024-12-26,2024-12-26,,"Saturday Night","Saturday Night",https://www.imdb.com/title/tt27657135/,Movie,6.9,109,2024,"Biography, Comedy, Drama, History",37574,2025-01-31,"Jason Reitman",,
155,tt23770030,2024-12-27,2024-12-27,,"Memoir of a Snail","Memoir of a Snail",https://www.imdb.com/title/tt23770030/,Movie,7.8,95,2024,"Animation, Drama",24047,2025-02-14,"Adam Elliot",,
156,tt0089603,2024-12-30,2024-12-30,,"Mishima: A Life in Four Chapters","Mishima: A Life in Four Chapters",https://www.imdb.com/title/tt0089603/,Movie,7.9,120,1985,"Biography, Drama",16308,1985,"Paul Schrader",,
157,tt16311594,2025-01-04,2025-01-04,,"F1","F1",https://www.imdb.com/title/tt16311594/,Movie,7.7,155,2025,"Action, Drama, Sport",291986,2025-06-25,"Joseph Kosinski",,
158,tt4772188,2025-01-06,2025-01-06,,"Flow","Straume",https://www.imdb.com/title/tt4772188/,Movie,7.9,85,2024,"Animation, Adventure, Family, Fantasy",120575,2025-03-21,"Gints Zilbalodis",,
159,tt0094964,2025-01-12,2025-01-12,,"Dead Ringers","Dead Ringers",https://www.imdb.com/title/tt0094964/,Movie,7.2,116,1988,"Drama, Horror, Thriller",58206,1989-01-06,"David Cronenberg",,
160,tt0120907,2025-01-12,2025-01-12,,"eXistenZ","eXistenZ",https://www.imdb.com/title/tt0120907/,Movie,6.8,97,1999,"Horror, Mystery, Sci-Fi, Thriller",112672,1999-04-30,"David Cronenberg",,
161,tt0765443,2025-01-12,2025-01-12,,"Eastern Promises","Eastern Promises",https://www.imdb.com/title/tt0765443/,Movie,7.6,100,2007,"Crime, Drama, Thriller",275502,2007-10-26,"David Cronenberg",,
162,tt2172584,2025-01-12,2025-01-12,,"Maps to the Stars","Maps to the Stars",https://www.imdb.com/title/tt2172584/,Movie,6.2,111,2014,"Comedy, Drama, Mystery",44375,2014-09-26,"David Cronenberg",,
163,tt0166924,2025-01-16,2025-01-16,,"Mulholland Drive","Mulholland Dr.",https://www.imdb.com/title/tt0166924/,Movie,7.9,147,2001,"Drama, Mystery, Thriller",421761,2002-01-04,"David Lynch",,
164,tt0460829,2025-01-16,2025-01-16,,"Inland Empire","Inland Empire",https://www.imdb.com/title/tt0460829/,Movie,6.8,180,2006,"Drama, Fantasy, Mystery, Thriller",68058,2007-03-09,"David Lynch",,
165,tt0090756,2025-01-16,2025-01-16,,"Blue Velvet","Blue Velvet",https://www.imdb.com/title/tt0090756/,Movie,7.7,120,1986,"Crime, Drama, Mystery, Thriller",240809,1987-04-10,"David Lynch",,
166,tt0069733,2025-01-30,2025-01-30,,"The Ascent of Man","The Ascent of Man",https://www.imdb.com/title/tt0069733/,TV Mini Series,8.8,50,1973,"Documentary, History",966,1973-05-05,,,
167,tt1937390,2025-01-30,2025-01-30,,"Nymphomaniac: Vol. I","Nymphomaniac: Vol. I",https://www.imdb.com/title/tt1937390/,Movie,6.9,117,2013,"Drama",137659,2014-02-22,"Lars von Trier",,
168,tt0086022,2025-01-30,2025-01-30,,"Nostalgia","Nostalghia",https://www.imdb.com/title/tt0086022/,Movie,7.9,125,1983,"Drama",32720,1983-06-02,"Andrei Tarkovsky",,
169,tt22408160,2025-02-04,2025-02-04,,"Kinds of Kindness","Kinds of Kindness",https://www.imdb.com/title/tt22408160/,Movie,6.4,164,2024,"Comedy, Drama, Horror",68726,2024-06-28,"Yorgos Lanthimos",,
170,tt28015403,2025-02-05,2025-02-05,,"Heretic","Heretic",https://www.imdb.com/title/tt28015403/,Movie,7.0,111,2024,"Horror, Thriller",213439,2024-11-01,"Scott Beck, Bryan Woods",,
171,tt12899886,2025-02-09,2025-02-09,,"George Carlin's American Dream","George Carlin's American Dream",https://www.imdb.com/title/tt12899886/,TV Series,8.3,217,2022,"Documentary, Biography, Comedy",4418,2022-05-20,,9,2022-09-08
172,tt0168629,2025-02-09,2025-02-09,,"Dancer in the Dark","Dancer in the Dark",https://www.imdb.com/title/tt0168629/,Movie,7.9,135,2000,"Crime, Drama, Musical",122934,2000-09-15,"Lars von Trier",,
173,tt19854690,2025-02-10,2025-02-10,,"Eno","Eno",https://www.imdb.com/title/tt19854690/,Movie,8.0,85,2024,"Documentary, Music",346,2024-06-16,"Gary Hustwit",,
174,tt0099685,2025-02-10,2025-02-10,,"GoodFellas","GoodFellas",https://www.imdb.com/title/tt0099685/,Movie,8.7,145,1990,"Biography, Crime, Drama",1372363,1990-10-26,"Martin Scorsese",,
